 atom ion ishell  a       b     c       d     e
   26 17  1   1265.0   82.2  -26.4    6.1  -49.8                        
   26 17  2   1397.0   19.2   -5.5    2.8  -12.3                        
   28 19  1   1546.4   71.69 -23.19  10.71 -45.63                       
   28 19  2   1692.1   16.33  -5.04   3.52 -11.47                       
   11  1  1      5.1   16.0   -1.0    0.2  -13.5                        
   11  1  2     34.0   63.9  -27.0   33.0  -80.0                        
   12  2  1     15.0    9.0   -3.6    0.3   -5.4                        
   12  2  2     65.0   37.7  -30.0   24.8  -62.0                        
   12  2  3    104.5   17.6   -5.2    3.3  -19.0                        
   13  3  1     28.4    6.3   -2.4    0.5   -4.1                        
   13  3  2    103.0   31.3  -22.7   21.0  -44.1                        
   13  3  3    145.6   12.1   -3.5    3.3  -13.1                        
   14  4  1     45.1    9.0   -3.0    0.6   -5.8                        
   14  4  2    148.0   66.7  -24.8   18.7  -65.0                        
   14  4  3    193.5   22.0   -7.2    3.3  -20.9                        
   16  6  1     88.1    9.0   -2.8    0.7   -5.4                        
   16  6  2    257.0   73.2  -27.0   15.8  -61.1                        
   16  6  3    309.7   23.1   -8.0    3.3  -19.5                        
   18  8  1    143.0    9.0   -2.7    0.8   -5.4                        
   18  8  2    394.0   74.8  -27.0   14.1  -58.6                        
   18  8  3    453.1   23.4   -8.3    3.3  -18.5                        
   20 10  1    211.0    9.0   -2.6    0.9   -5.4                        
   20 10  2    559.0   76.1  -27.0   12.8  -56.6                        
   20 10  3    623.7   23.5   -8.4    3.3  -17.8                        
   26 16  1    490.0    9.0   -2.6    1.0   -5.4                        
   26 16  2   1223.0   78.9  -27.0   10.6  -52.8                        
   26 16  3   1298.6   23.5   -7.8    3.3  -16.5                        
   28 18  1    608.0    9.0   -2.6    1.0   -5.4                        
   28 18  2   1500.0   79.6  -27.0   10.1  -51.9                        
   28 18  3   1578.0   23.5   -7.8    3.3  -16.2                        
   12  1  1      7.6   18.0   -1.0    0.6   -4.0                        
   12  1  2     54.0   37.7  -30.0   24.8  -62.0                        
   12  1  3     92.2   17.6   -5.2    3.3  -19.0                        
   13  2  1     18.8   17.0   -6.0    1.0   -8.0                        
   13  2  2     90.0   31.3  -22.7   21.0  -44.1                        
   13  2  3    131.0   12.1   -3.5    3.3  -13.1                        
   14  3  1     33.5   19.8   -5.7    1.3  -11.9                        
